workout,start,end,exercise,weight,bodyweight,assistingWeight,extraWeight,distanceKM,reps,calories,time,warmup,max,fail,checked,setComment,workoutComment,form,sleep,calories,stress
Full body leve com ombro,1773573844546,1773582323033,Walking,,,,,0.54,,30,00:05:40,false,false,false,1773573847207,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Seated Leg Press,50,,,,,12,,,true,false,false,1773573989910,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Seated Leg Press,80,,,,,10,,,false,false,false,1773574248364,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Seated Leg Press,100,,,,,7,,,false,false,false,1773574461439,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Seated Leg Press,100,,,,,8,,,false,false,false,1773575731218,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Seated Leg Curl,50,,,,,12,,,false,false,false,1773575762092,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Seated Leg Curl,50,,,,,12,,,false,false,false,1773575764249,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Dumbbell Chest Press,12,,,,,20,,,false,false,false,1773576342394,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Dumbbell Chest Press,18,,,,,8,,,false,false,false,1773576645229,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Dumbbell Chest Press,18,,,,,10,,,false,false,false,1773577018909,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Lat Pulldown,35,,,,,12,,,false,false,false,,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Lat Pulldown,42.5,,,,,12,,,false,false,false,,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Lat Pulldown,42.5,,,,,10,,,false,false,false,,Mais repetições parciais para adutores de escápula,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Cable Close-Grip Seated Row,27.5,,,,,16,,,false,false,false,1773578287690,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Cable Close-Grip Seated Row,35,,,,,15,,,false,false,false,1773578611717,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Cable Close-Grip Seated Row,42.5,,,,,12,,,false,false,false,1773578879284,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Machine Back Extension,100,,,,,12,,,false,false,false,1773579867919,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Machine Back Extension,100,,,,,12,,,false,false,false,1773582306095,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Dumbbell Lateral Raise,7,,,,,12,,,false,false,false,1773582310580,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Dumbbell Lateral Raise,7,,,,,12,,,false,false,false,1773582310839,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Tricep Pushdown With Bar,25,,,,,10,,,false,false,false,1773582313298,,,,3,3,
Full body leve com ombro,1773573844546,1773582323033,Tricep Pushdown With Bar,25,,,,,10,,,false,false,false,1773582314781,,,,3,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Dumbbell Lateral Raise,5,,,,,15,,,false,false,false,1773305100431,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Dumbbell Lateral Raise,6,,,,,12,,,false,false,false,1773305196144,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Dumbbell Lateral Raise,6,,,,,12,,,false,false,false,1773305286890,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Dumbbell Lateral Raise,6,,,,,10,,,false,false,false,1773305461635,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Machine Shoulder Press,12.5,,,,,15,,,false,false,false,1773305577040,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Machine Shoulder Press,20,,,,,10,,,false,false,false,1773305705852,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Machine Shoulder Press,20,,,,,6,,,false,false,false,1773305822050,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Seated Leg Press,50,,,,,12,,,false,false,false,1773305996026,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Seated Leg Press,80,,,,,10,,,false,false,false,1773306136011,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Seated Leg Press,90,,,,,8,,,false,false,false,1773306325070,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Seated Leg Press,90,,,,,8,,,false,false,false,1773306566987,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Seated Leg Curl,35,,,,,15,,,false,false,false,1773306714376,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Seated Leg Curl,50,,,,,10,,,false,false,false,1773306824612,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Seated Leg Curl,50,,,,,10,,,false,false,false,1773307054367,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Dumbbell Chest Press,12,,,,,12,,,false,false,false,1773307245361,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Dumbbell Chest Press,16,,,,,10,,,false,false,false,1773307487126,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Dumbbell Chest Press,16,,,,,7,,,false,false,false,1773307738951,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Lat Pulldown,35,,,,,12,,,false,false,false,1773307959277,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Lat Pulldown,42.5,,,,,10,,,false,false,false,1773308146801,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Lat Pulldown,42.5,,,,,0,,,false,false,false,1773308171580,,,3,4,3,
"Thursday Morning: Shoulders, Back, Triceps etc.",1773304841105,1773309619565,Cable Close-Grip Seated Row,27.5,,,,,12,,,false,false,false,1773308394740,,,3,4,3,
